arber_LUFTTEMPERATUR,arber_NIEDERSCHLAGSHOEHE,arber_DAMPFDRUCK,arber_NIEDERSCHLAGSHOEHE_IND,arber_SCHNEEHOEHE,schorndorf_LUFTTEMPERATUR,schorndorf_NIEDERSCHLAGSHOEHE,schorndorf_DAMPFDRUCK,schorndorf_NIEDERSCHLAGSHOEHE_IND,schorndorf_SCHNEEHOEHE,straubing_LUFTTEMPERATUR,straubing_NIEDERSCHLAGSHOEHE,straubing_DAMPFDRUCK,straubing_NIEDERSCHLAGSHOEHE_IND,straubing_SCHNEEHOEHE
7.7,8.7,9.9,6,0,15.3,29.5,14.2,6.0,0.0,15.9,11.9,15.0,6.0,0.0
2.7,8.4,7.7,6,0,9.5,19.4,11.0,6.0,0.0,10.0,20.9,12.0,6.0,0.0
2.6,0.5,7.3,6,0,10.0,2.7,11.0,6.0,0.0,11.1,0.6,11.9,6.0,0.0
3.3,3.3,7.2,6,0,11.3,1.8,11.0,6.0,0.0,12.4,0.5,10.9,6.0,0.0
5.6,0.3,7.9,6,0,11.4,0.0,10.9,0.0,0.0,13.1,0.0,11.3,0.0,0.0
6.7,0.1,7.6,6,0,13.2,0.0,11.3,0.0,0.0,14.6,0.2,11.9,6.0,0.0
8.3,0.6,8.9,6,0,16.2,0.2,13.0,6.0,0.0,16.6,1.1,13.5,6.0,0.0
9.4,0.2,10.2,6,0,16.4,2.5,14.6,6.0,0.0,16.7,0.0,14.6,6.0,0.0
7.3,25.8,10.5,8,0,14.4,12.7,14.8,6.0,0.0,15.2,13.9,15.6,6.0,0.0
4.0,16.0,7.9,6,0,12.9,5.1,10.6,6.0,0.0,12.4,6.1,11.0,6.0,0.0
6.1,22.0,9.1,6,0,13.0,5.8,13.2,6.0,0.0,13.0,5.9,14.2,6.0,0.0
6.0,3.7,8.4,8,0,14.3,2.7,11.3,6.0,0.0,15.2,0.4,13.0,6.0,0.0
8.3,0.0,7.6,0,0,14.2,0.0,12.0,0.0,0.0,14.6,0.0,12.3,0.0,0.0
12.2,0.0,11.3,6,0,19.7,0.0,14.8,0.0,0.0,19.5,0.2,15.0,6.0,0.0
12.4,22.1,12.1,6,0,19.2,12.3,16.8,6.0,0.0,18.8,17.4,17.8,6.0,0.0
6.4,10.1,9.5,6,0,13.9,18.6,13.5,6.0,0.0,14.4,7.3,14.3,6.0,0.0
7.2,4.0,9.1,6,0,14.2,2.7,12.8,6.0,0.0,14.6,6.8,13.1,6.0,0.0
5.6,16.1,9.7,6,0,11.1,27.2,12.6,6.0,0.0,11.0,17.5,12.9,6.0,0.0
3.2,6.6,7.4,6,0,11.5,2.1,10.3,6.0,0.0,11.8,2.0,10.4,6.0,0.0
5.9,8.6,8.9,6,0,12.5,1.0,13.0,6.0,0.0,13.1,3.8,14.0,6.0,0.0
7.3,17.2,9.6,6,0,14.0,11.4,13.6,6.0,0.0,15.0,10.2,14.0,6.0,0.0
9.2,1.5,11.2,6,0,15.4,2.5,16.1,6.0,0.0,15.0,0.9,16.1,6.0,0.0
13.0,0.0,12.2,6,0,18.5,0.0,16.8,0.0,0.0,19.6,0.0,17.4,0.0,0.0
15.2,0.0,13.2,0,0,19.8,0.0,17.9,0.0,0.0,21.3,0.0,18.6,0.0,0.0
13.9,0.0,13.4,0,0,20.5,0.0,17.5,0.0,0.0,22.1,0.0,16.8,0.0,0.0
6.3,0.0,8.0,0,0,14.1,0.0,10.3,0.0,0.0,15.4,0.0,10.6,0.0,0.0
9.0,0.0,7.4,0,0,14.3,0.0,10.2,0.0,0.0,15.1,0.0,11.4,0.0,0.0
5.0,0.0,7.7,0,0,14.4,0.0,10.5,0.0,0.0,15.0,0.0,10.3,0.0,0.0
5.5,0.0,6.9,0,0,12.8,0.0,10.1,0.0,0.0,14.2,0.0,9.8,0.0,0.0
7.2,0.0,6.3,0,0,13.1,0.0,10.2,0.0,0.0,15.3,0.0,9.0,0.0,0.0
8.4,0.0,6.6,0,0,13.3,0.0,10.0,0.0,0.0,15.8,0.0,9.9,0.0,0.0
11.3,0.0,6.8,0,0,14.8,0.0,11.4,0.0,0.0,16.4,0.0,10.6,0.0,0.0
14.6,7.2,8.2,6,0,17.8,8.2,13.6,6.0,0.0,19.9,1.6,14.3,6.0,0.0
10.2,2.8,11.8,6,0,18.3,2.1,16.0,6.0,0.0,18.4,4.9,16.2,6.0,0.0
6.5,5.0,9.4,6,0,14.0,0.8,13.1,6.0,0.0,15.0,0.8,14.0,6.0,0.0
9.0,0.0,11.1,0,0,15.3,0.0,14.1,0.0,0.0,16.6,0.0,14.4,0.0,0.0
14.6,0.0,10.4,0,0,16.8,0.0,14.5,0.0,0.0,18.4,0.0,14.3,6.0,0.0
14.0,11.0,12.9,6,0,19.0,0.7,18.0,6.0,0.0,19.2,12.8,19.2,6.0,0.0
13.7,3.6,13.7,6,0,18.5,8.4,18.3,6.0,0.0,20.2,12.2,19.4,6.0,0.0
10.3,0.0,11.5,0,0,17.2,0.1,15.5,6.0,0.0,17.8,0.0,15.3,0.0,0.0
12.5,0.0,10.9,0,0,17.6,0.0,15.8,0.0,0.0,18.8,0.0,15.3,0.0,0.0
16.4,0.0,11.5,0,0,19.8,2.5,17.1,6.0,0.0,21.2,0.0,16.1,0.0,0.0
14.9,29.1,13.8,6,0,19.2,8.1,18.1,6.0,0.0,21.7,8.7,18.9,6.0,0.0
8.2,5.5,10.7,6,0,15.4,4.8,15.7,6.0,0.0,16.2,0.8,17.0,6.0,0.0
6.6,0.0,8.3,0,0,13.9,0.0,12.0,0.0,0.0,15.6,0.0,12.5,0.0,0.0
